file,original_resolution,output_256,output_512,status
112_peacock-90051_1280.jpg,1280x721,./output\input_raster_256x256\112_peacock-90051_1280_256.png,./output\input_raster_512x512\112_peacock-90051_1280_512.png,success
107_barn-owl-2988291_1280.jpg,1280x853,./output\input_raster_256x256\107_barn-owl-2988291_1280_256.png,./output\input_raster_512x512\107_barn-owl-2988291_1280_512.png,success
114_swan-3466606_1280.jpg,1280x761,./output\input_raster_256x256\114_swan-3466606_1280_256.png,./output\input_raster_512x512\114_swan-3466606_1280_512.png,success
117_plumage-176723_1280.jpg,1280x917,./output\input_raster_256x256\117_plumage-176723_1280_256.png,./output\input_raster_512x512\117_plumage-176723_1280_512.png,success
109_cardinal-1884283_1280.jpg,1280x852,./output\input_raster_256x256\109_cardinal-1884283_1280_256.png,./output\input_raster_512x512\109_cardinal-1884283_1280_512.png,success
111_beach-832346_1280.jpg,1280x859,./output\input_raster_256x256\111_beach-832346_1280_256.png,./output\input_raster_512x512\111_beach-832346_1280_512.png,success
108_kingfisher-881975_1280.jpg,1280x720,./output\input_raster_256x256\108_kingfisher-881975_1280_256.png,./output\input_raster_512x512\108_kingfisher-881975_1280_512.png,success
116_flamingo-600205_1280.jpg,1280x662,./output\input_raster_256x256\116_flamingo-600205_1280_256.png,./output\input_raster_512x512\116_flamingo-600205_1280_512.png,success
113_sparrows-3434123_1280.jpg,1280x853,./output\input_raster_256x256\113_sparrows-3434123_1280_256.png,./output\input_raster_512x512\113_sparrows-3434123_1280_512.png,success
118_victoria-crowned-pigeon-4486154_1280.jpg,914x1280,./output\input_raster_256x256\118_victoria-crowned-pigeon-4486154_1280_256.png,./output\input_raster_512x512\118_victoria-crowned-pigeon-4486154_1280_512.png,success
121_parrot-3601194_1280.jpg,1280x853,./output\input_raster_256x256\121_parrot-3601194_1280_256.png,./output\input_raster_512x512\121_parrot-3601194_1280_512.png,success
119_bird-386725_1280.jpg,1160x1280,./output\input_raster_256x256\119_bird-386725_1280_256.png,./output\input_raster_512x512\119_bird-386725_1280_512.png,success
123_swan-2350668_1280.jpg,1280x788,./output\input_raster_256x256\123_swan-2350668_1280_256.png,./output\input_raster_512x512\123_swan-2350668_1280_512.png,success
120_bird-1905255_1280.jpg,1280x853,./output\input_raster_256x256\120_bird-1905255_1280_256.png,./output\input_raster_512x512\120_bird-1905255_1280_512.png,success
124_hummingbird-1823829_1280.jpg,883x1280,./output\input_raster_256x256\124_hummingbird-1823829_1280_256.png,./output\input_raster_512x512\124_hummingbird-1823829_1280_512.png,success
125_owl-3649048_1280.jpg,1280x853,./output\input_raster_256x256\125_owl-3649048_1280_256.png,./output\input_raster_512x512\125_owl-3649048_1280_512.png,success
128_white-tailed-eagle-2015098_1280.jpg,1280x761,./output\input_raster_256x256\128_white-tailed-eagle-2015098_1280_256.png,./output\input_raster_512x512\128_white-tailed-eagle-2015098_1280_512.png,success
122_hummingbird-1854225_1280.jpg,1280x918,./output\input_raster_256x256\122_hummingbird-1854225_1280_256.png,./output\input_raster_512x512\122_hummingbird-1854225_1280_512.png,success
133_peacock-3080897_1280.jpg,1280x675,./output\input_raster_256x256\133_peacock-3080897_1280_256.png,./output\input_raster_512x512\133_peacock-3080897_1280_512.png,success
127_bird-341898_1280.jpg,1280x850,./output\input_raster_256x256\127_bird-341898_1280_256.png,./output\input_raster_512x512\127_bird-341898_1280_512.png,success
126_kingfisher-2046453_1280.jpg,1280x853,./output\input_raster_256x256\126_kingfisher-2046453_1280_256.png,./output\input_raster_512x512\126_kingfisher-2046453_1280_512.png,success
138_bird-3743094_1280.jpg,1280x845,./output\input_raster_256x256\138_bird-3743094_1280_256.png,./output\input_raster_512x512\138_bird-3743094_1280_512.png,success
136_halcyon-1352522_1280.jpg,1280x848,./output\input_raster_256x256\136_halcyon-1352522_1280_256.png,./output\input_raster_512x512\136_halcyon-1352522_1280_512.png,success
130_seagulls-815304_1280.jpg,1280x853,./output\input_raster_256x256\130_seagulls-815304_1280_256.png,./output\input_raster_512x512\130_seagulls-815304_1280_512.png,success
137_eagle-2045655_1280.jpg,1090x1280,./output\input_raster_256x256\137_eagle-2045655_1280_256.png,./output\input_raster_512x512\137_eagle-2045655_1280_512.png,success
